0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
18.02792421455016,81.97207578544983,4,367,22,1,47,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
18.02792421455016,81.97207578544983,4,367,22,1,47,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
18.02792421455016,81.97207578544983,4,367,22,1,47,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
18.02792421455016,81.97207578544983,4,367,22,1,47,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
18.02792421455016,81.97207578544983,4,367,22,1,47,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
18.02792421455016,81.97207578544983,3,367,22,1,19,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
18.02792421455016,81.97207578544983,3,367,22,1,19,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,11,358,0,19,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,7,361,0,19,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,19,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,4,364,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,4,364,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,2,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,2,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,25,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.00010576993564326287,99.99989423006436,0,256,111,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,3,364,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,7,360,0,19,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,15,352,0,33,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,41,326,0,15,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,13,354,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,38,329,0,95,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,47,320,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,19,348,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,28,339,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,35,332,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,1,73,301,1,30,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,1,73,301,1,30,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,6,361,1,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,6,361,1,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,6,361,1,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,6,361,1,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,6,361,0,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,6,361,0,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,5,362,0,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,5,362,0,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,4,363,0,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,1,366,0,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,10,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,10,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,5,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,5,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,5,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,5,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,5,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,2,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,2,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,2,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
0.0,100.0,0,0,367,0,2,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/1mg.html
