0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,13,1331,606,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,0,1331,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,0,1331,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,0,1331,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,0,1331,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,0,1331,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,0,1331,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,0,1331,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,311,1033,1,60,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,0,1331,0,40,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,0,1331,0,40,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,4,1327,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,4,1327,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,1,1330,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,1,1330,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,1,1330,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
0.0,100.0,0,1,1330,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Activewear.html
