0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,175,522,282,1,9,25,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,1,44,478,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,44,478,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,44,478,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,44,478,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,1,521,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,0,522,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,1,521,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,0,522,0,46,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,0,522,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,0,522,0,46,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,0,522,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,0,522,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,0,522,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,4,521,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,3,521,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,4,29,512,0,3,6,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,1,521,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,1,521,0,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,0,522,0,25,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
0.0,100.0,0,0,522,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apartments.html
