0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,330,1077,326,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,0,1077,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,0,1077,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,0,1077,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,5,1072,1,22,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,5,1072,1,22,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,5,1072,1,22,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,1,1076,0,22,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,4,1073,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,6,254,922,1,3,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,2,4,1073,0,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,2,0,1077,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,3,1074,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,0,1077,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,0,1077,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,0,1077,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,3,247,924,1,3,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,3,247,924,1,3,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,3,247,924,1,3,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,38,1049,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,1,1076,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,0,1077,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,8,1071,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,7,1072,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,8,1071,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,9,1070,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,5,1074,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,20,1063,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,1,1076,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,0,1077,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,7,1072,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,6,1073,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,6,1073,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,46,1041,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,1,1076,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,3,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,3,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
0.0,100.0,0,9,1070,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bata.html
