0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
7.469561524864332e-07,99.99999925304385,45,504,147,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
7.469561524864332e-07,99.99999925304385,45,504,147,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
7.469561524864332e-07,99.99999925304385,45,504,147,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
7.993605777301127e-13,99.9999999999992,31,340,247,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
7.993605777301127e-13,99.9999999999992,31,340,247,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
7.993605777301127e-13,99.9999999999992,31,340,247,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
7.993605777301127e-13,99.9999999999992,31,340,247,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
7.993605777301127e-13,99.9999999999992,31,340,247,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
7.993605777301127e-13,99.9999999999992,31,340,247,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,1,505,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,1,505,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,1,505,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,1,505,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,1,505,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,1,505,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,1,505,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
2.6645352591003757e-13,99.99999999999973,31,330,255,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
2.6645352591003757e-13,99.99999999999973,31,330,255,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
2.6645352591003757e-13,99.99999999999973,29,330,255,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
2.6645352591003757e-13,99.99999999999973,29,330,255,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
2.6645352591003757e-13,99.99999999999973,29,330,255,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
2.6645352591003757e-13,99.99999999999973,28,330,255,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
2.6645352591003757e-13,99.99999999999973,28,330,255,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
2.6645352591003757e-13,99.99999999999973,28,330,255,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,14,3,504,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,14,3,504,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,3,2,505,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,11,0,506,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
1.9984014443252818e-13,99.9999999999998,14,327,257,1,2,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,1,30,477,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,1,30,477,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,1,30,477,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,10,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,30,477,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,7,499,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,1,505,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,1,505,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
0.0,100.0,0,0,506,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Coursera.html
