0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
5.6288307348495437e-11,99.99999999994371,0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
5.6288307348495437e-11,99.99999999994371,0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
6.459277557269161e-11,99.99999999993541,0,1,215,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
6.459277557269161e-11,99.99999999993541,0,1,215,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
5.6288307348495437e-11,99.99999999994371,0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
9.758860386455126e-11,99.99999999990241,0,4,212,0,76,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1.1613376926788987e-09,99.99999999883866,0,23,194,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
6.697975507563569e-10,99.9999999993302,0,19,198,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
6.459277557269161e-11,99.99999999993541,0,1,215,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
5.6288307348495437e-11,99.99999999994371,0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
7.411848912397545e-11,99.99999999992588,0,3,214,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
5.6288307348495437e-11,99.99999999994371,0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
5.6288307348495437e-11,99.99999999994371,0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
5.6288307348495437e-11,99.99999999994371,0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
