0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
56.81071254671992,43.18928745328007,1,144,9,1,20,10,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
56.81071254671992,43.18928745328007,1,144,9,1,20,10,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
5.88265322010173e-06,99.99999411734677,1,13,132,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
5.88265322010173e-06,99.99999411734677,1,13,132,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
5.88265322010173e-06,99.99999411734677,1,13,132,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.2950979400017104e-06,99.99999870490205,0,2,143,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.2950979400017104e-06,99.99999870490205,0,2,143,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
2.9567450043899157e-06,99.999997043255,1,8,137,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,1,0,145,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,1,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,10,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,1,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,10,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,1,11,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,11,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,1,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,10,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.1286277801225708e-06,99.99999887137221,0,1,144,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
9.835554704018534e-07,99.99999901644453,0,0,145,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.2950979400017104e-06,99.99999870490205,0,2,143,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.2950979400017104e-06,99.99999870490205,0,2,143,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
1.2950979400017104e-06,99.99999870490205,0,2,143,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Flipkart.html
