0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
2.220446049250313e-14,99.99999999999997,217,792,273,1,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,0,794,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,1,6,788,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,1,6,788,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,6,788,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,0,794,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,0,794,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,33,382,504,1,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,33,382,504,1,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,1,0,794,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,1,0,794,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,0,794,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,0,794,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,0,794,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,5,791,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,2,793,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,0,794,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,1,793,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,2,793,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,0,794,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,30,373,510,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,5,67,734,1,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,4,58,740,1,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,6,63,740,1,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,2,18,778,1,99,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,4,44,754,1,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,2,34,760,1,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,6,65,735,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,1,17,777,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,9,785,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,1,6,788,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,1,0,794,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,6,788,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,0,794,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,0,794,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,2,792,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,1,793,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,1,793,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,2,792,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,2,792,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,1,793,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,1,793,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,1,793,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,1,793,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,2,11,791,0,4,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,2,11,791,0,4,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,2,11,791,0,4,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
0.0,100.0,0,11,791,0,4,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Forever21.html
