0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,2,463,723,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,2,13,868,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,2,12,868,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,2,12,868,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,2,12,868,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,7,869,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,7,869,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,4,871,1,4,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,0,1,872,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,3,872,1,4,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,1,872,1,4,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,1,872,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,1,872,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,0,873,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,0,1,872,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,0,2,871,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,0,1,872,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,0,1,872,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,0,0,873,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,5,869,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,5,869,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,5,869,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,5,869,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,0,1,872,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,1,872,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,1,872,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,1,872,1,4,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,1,872,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,1,872,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,1,0,873,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,0,0,873,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,0,0,873,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,0,0,873,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
0.0,100.0,0,0,873,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ITCStore.html
