0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,1,2,354,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,1,2,354,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,1,2,354,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,1,2,354,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,1,2,354,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,2,354,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,2,354,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,3,353,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,3,353,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,60,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,60,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,3,353,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,1,355,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,245,283,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,245,283,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,83,283,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,49,314,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,49,314,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,11,346,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,10,346,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,11,346,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,10,346,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,9,348,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,8,348,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,17,340,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,16,340,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,1,355,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,1,355,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,30,329,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,30,329,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,1,355,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,12,345,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,11,345,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,8,349,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,7,349,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,9,348,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,8,348,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0.0,100.0,0,0,356,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
