0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
7.745991115193362e-06,99.99999225400889,0,0,130,1,26,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
7.745991115193362e-06,99.99999225400889,0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
4.618219434681803,95.3817805653182,48,108,33,1,12,9,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
1.7684313946553232e-05,99.99998231568605,4,7,124,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
1.7684313946553232e-05,99.99998231568605,4,7,124,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
1.7684313946553232e-05,99.99998231568605,4,7,124,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
1.7684313946553232e-05,99.99998231568605,4,7,124,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
8.888507985194138e-06,99.99999111149201,0,1,129,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
8.888507985194138e-06,99.99999111149201,0,1,129,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
7.745991115193362e-06,99.99999225400889,0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
1.54111961636616e-05,99.99998458880384,4,5,125,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
1.54111961636616e-05,99.99998458880384,4,5,125,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
8.888507985194138e-06,99.99999111149201,0,1,129,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
8.888507985194138e-06,99.99999111149201,0,1,129,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
7.745991115193362e-06,99.99999225400889,4,0,130,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
7.745991115193362e-06,99.99999225400889,0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
7.745991115193362e-06,99.99999225400889,0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
7.745991115193362e-06,99.99999225400889,0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
7.745991115193362e-06,99.99999225400889,0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
7.745991115193362e-06,99.99999225400889,2,0,130,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
7.745991115193362e-06,99.99999225400889,1,0,130,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
