0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
1.332622900918068e-09,99.99999999866738,0,0,193,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,50,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,28,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,28,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,28,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,50,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,50,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,50,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
2.4847350843515414e-07,99.99999975152649,8,39,155,1,78,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,1,0,193,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
2.3105517499288908e-09,99.99999999768944,0,4,189,0,45,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.5291767851977056e-09,99.99999999847083,0,1,192,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
0.0005512934523332902,99.99944870654767,34,147,99,1,80,3,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
0.00024147541181074317,99.99975852458819,34,133,105,1,7,3,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
3.4911851187757748e-09,99.99999999650882,3,13,186,0,4,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
3.4911851187757748e-09,99.99999999650882,3,13,186,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.5291767851977056e-09,99.99999999847083,1,7,192,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.4330869824163983e-07,99.9999998566913,3,42,159,1,98,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.4330869824163983e-07,99.9999998566913,3,42,159,1,98,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.7547296948805524e-09,99.99999999824527,3,8,191,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,1,0,193,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,1,0,193,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.5291767851977056e-09,99.99999999847083,0,1,192,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.5291767851977056e-09,99.99999999847083,1,7,192,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.5291767851977056e-09,99.99999999847083,1,7,192,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,1,0,193,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,1,0,193,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.248879888393617e-07,99.99999987511201,0,34,160,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.5291767851977056e-09,99.99999999847083,0,1,192,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.5291767851977056e-09,99.99999999847083,0,1,192,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
1.332622900918068e-09,99.99999999866738,0,0,193,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/MISSSIXTY.html
