0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,1,1074,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,0,1075,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,1,1074,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,0,1075,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,5,1070,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,5,1070,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,5,1070,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
6.23945339839338e-12,99.99999999999376,28,878,232,1,15,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,0,1075,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,0,1075,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,0,1075,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,0,1075,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,2,1,1074,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,1,1074,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,1,1074,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,0,1075,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,6,1070,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,5,1070,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,5,1070,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,8,1068,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,7,1068,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,7,1068,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,2,1073,0,42,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,42,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,42,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,42,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,1,1074,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,3,0,1075,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,3,0,1075,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,3,0,1075,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,2,0,1075,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
7.993605777301127e-13,99.9999999999992,18,854,247,1,23,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,1,1,1074,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,17,24,1055,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,6,1072,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,6,1072,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,2,1073,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,4,1073,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
6.661338147750939e-14,99.99999999999993,0,829,266,1,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
4.440892098500626e-14,99.99999999999996,0,828,267,1,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,43,1032,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,35,1040,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,10,1065,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,8,1067,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,11,1064,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,6,1069,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,8,1067,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,4,1071,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,4,1071,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,3,1072,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,3,1072,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,3,1072,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,2,1073,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,70,1005,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,62,1013,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,20,1055,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,10,1065,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,15,1060,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,17,1058,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,8,1067,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,1,1074,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,3,1072,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,3,1072,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,2,1073,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
0.0,100.0,0,0,1075,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/M_S.html
