0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
2.851228142475293e-07,99.99999971487719,47,3586,154,1,20,6,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,2,3449,280,1,20,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,5,3581,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,5,3581,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,5,3581,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,4,3582,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,2,2664,973,1,10,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,2,2664,973,1,10,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,1,2664,973,1,10,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,1,2664,973,1,10,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,2663,974,1,10,1,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,0,3586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,0,3586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,0,3586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,0,3586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,0,3586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,0,3586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,2220,1393,1,8,1,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,2192,1394,1,8,1,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,2192,1394,1,8,1,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,2192,1394,1,8,1,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,0,3586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,0,3586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,32,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
0.0,100.0,0,1,3585,0,23,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Nykaa.html
