0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,1,1753,575,1,4,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,3,1901,0,60,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,3,1901,0,60,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,3,1901,0,60,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,60,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,60,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,3,1901,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,3,1901,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,1,8,1899,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,1,8,1899,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,1,8,1899,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,1,8,1899,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,1,8,1899,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,4,1900,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,4,1900,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,1,1903,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,1,1903,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,1,1903,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,1,1903,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,1,4,1903,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,1,4,1903,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,1,1903,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,1,3,1903,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,1,3,1903,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,1,0,1904,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,1,1903,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,1,1903,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,1,1903,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,1,1903,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
0.0,100.0,0,0,1904,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Pepperfry.html
