0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,5,0,795,0,10,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,10,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,1,0,795,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,1,0,795,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,1,0,795,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,3,0,795,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,1,18,778,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,1,18,778,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,1,18,778,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,1,15,781,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,1,0,795,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,1,0,795,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,1,794,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,2,793,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,0,795,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,1,1,794,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,657,280,1,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,657,280,1,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
0.0,100.0,0,41,758,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/PrettyLittleThing.html
