0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
36.55465535917044,63.44534464082956,51,248,15,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0.025961216202941007,99.97403878379706,1,184,71,1,72,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
9.103828801926284e-13,99.99999999999909,1,2,246,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,1,0,248,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,1,0,248,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1.2390088954816747e-11,99.99999999998761,0,21,227,1,54,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1.2390088954816747e-11,99.99999999998761,0,21,227,1,54,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.731148640577885e-12,99.99999999999727,0,10,238,1,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.731148640577885e-12,99.99999999999727,0,10,238,1,54,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
7.993605777301127e-13,99.9999999999992,0,1,247,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.828848266744899e-11,99.9999999999717,0,27,221,1,4,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.828848266744899e-11,99.9999999999717,0,27,221,1,4,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
3.597122599785507e-12,99.9999999999964,0,12,236,1,4,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
3.1308289294429414e-12,99.99999999999687,0,11,237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1.199040866595169e-12,99.9999999999988,0,4,244,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.828848266744899e-11,99.9999999999717,0,27,221,1,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.828848266744899e-11,99.9999999999717,0,27,221,1,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.731148640577885e-12,99.99999999999727,0,10,238,1,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.731148640577885e-12,99.99999999999727,0,10,238,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1.7985612998927536e-12,99.9999999999982,0,7,241,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
3.7259084706420253e-11,99.99999999996274,0,29,219,1,72,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
3.7259084706420253e-11,99.99999999996274,0,29,219,1,72,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.375877272697835e-12,99.99999999999763,0,9,239,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.065014825802791e-12,99.99999999999794,0,8,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
3.597122599785507e-12,99.9999999999964,0,12,236,1,72,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
4.130029651605582e-12,99.99999999999586,0,13,235,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
4.130029651605582e-12,99.99999999999586,0,13,235,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1.7985612998927536e-12,99.9999999999982,0,7,241,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1.5765166949677223e-12,99.99999999999842,0,6,242,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.4646951146678475e-11,99.99999999997536,0,26,222,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.4646951146678475e-11,99.99999999997536,0,26,222,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.375877272697835e-12,99.99999999999763,0,9,239,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.375877272697835e-12,99.99999999999763,0,9,239,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.065014825802791e-12,99.99999999999794,0,8,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
6.883382752675971e-13,99.99999999999932,0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
2.731148640577885e-12,99.99999999999727,0,10,238,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
