0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,0,0,386,0,10,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
3.9968028886505635e-13,99.9999999999996,4,386,252,1,0,6,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,1,1,385,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,0,0,386,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,2,48,347,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,2,48,347,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,1,2,384,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,0,1,385,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,0,11,375,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,0,1,385,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,0,6,380,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,0,6,380,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,1,31,355,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,1,30,356,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,0,1,385,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,1,337,286,1,20,6,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,1,291,329,1,1,6,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,1,2,385,1,99,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,0,1,385,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,0,0,386,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,0,0,386,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
0.0,100.0,0,0,386,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RoyalLePage.html
