0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,0,0,846,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
20.151168456878565,79.84883154312143,6,845,21,1,20,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
20.151168456878565,79.84883154312143,6,845,21,1,20,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
20.151168456878565,79.84883154312143,6,845,21,1,20,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
1.3841682532795274,98.61583174672047,4,813,42,1,3,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,2,17,832,0,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,2,17,832,0,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,2,1,845,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,2,0,846,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,2,0,846,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,2,0,846,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,2,0,846,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,1,0,846,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,1,0,846,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,4,842,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,4,842,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.2685664599733073,99.7314335400267,2,796,54,1,3,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
2.0135670908416614e-09,99.99999999798644,0,657,190,0,3,1,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
2.0135670908416614e-09,99.99999999798644,0,657,190,0,3,1,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,4,842,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,123,724,1,3,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,20,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,20,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,20,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,20,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,20,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,120,726,0,18,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,33,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,33,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,33,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,33,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,33,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,24,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,24,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,24,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,24,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,24,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,24,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,24,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,24,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,24,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,31,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,31,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,31,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,31,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,31,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,47,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,47,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,47,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,47,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,47,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,30,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,30,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,65,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,65,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,65,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,65,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,65,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,31,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,31,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,31,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,31,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,31,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,25,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,25,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,25,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,18,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,18,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,18,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,18,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,18,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,95,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,95,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,95,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,95,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,95,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,16,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,16,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,16,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,16,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,16,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,12,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,12,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,1,845,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,30,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,30,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
0.0,100.0,0,0,846,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/SSENSE.html
