0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,4,1240,808,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,2,17,1245,1,5,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,2,17,1245,1,5,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,2,17,1245,1,5,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,2,17,1245,1,5,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,35,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,35,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,35,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,35,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,35,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,35,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,35,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,2,16,1245,1,5,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,15,1246,1,5,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,15,1246,1,5,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,10,1250,0,5,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,10,1250,0,5,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,10,1250,0,5,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,10,1250,0,5,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,0,1251,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,10,1250,0,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,10,1250,0,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,10,1250,0,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,4,1247,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,1,1250,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,0,1251,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,376,938,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,376,938,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,376,938,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,376,938,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,376,938,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,1,0,1251,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,33,1220,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,14,1238,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,13,1238,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,13,1238,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,1,1250,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0.0,100.0,0,0,1251,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
