0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0.0,100.0,0,0,579,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,1,188,410,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,1,578,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,1,578,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,0,579,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,1,578,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,1,36,559,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,1,36,559,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,1,578,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,1,35,560,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,4,575,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,4,575,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,1,578,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,5,574,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,3,576,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,1,578,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,1,578,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,1,14,577,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,1,14,577,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,1,13,578,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,1,13,578,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,0,579,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,0,579,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,13,578,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,13,578,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,0,579,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,0,579,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,0,579,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,1,0,579,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,11,570,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,1,578,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,1,578,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,9,571,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,8,572,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,3,577,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,0,579,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,150,429,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,150,429,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,149,430,1,2,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,148,431,1,2,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,148,431,1,2,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,1,578,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,147,432,1,2,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,63,516,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,43,536,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
0.0,100.0,0,14,565,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/aliexpress.html
