0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
3.546684405579259,96.45331559442074,75,199,35,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,3,0,199,1,5,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,3,0,199,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,3,0,199,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,3,0,199,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
8.571305776250426e-07,99.99999914286943,8,64,146,1,61,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
7.686073999479959e-10,99.99999999923139,6,2,197,0,61,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,6,1,198,0,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,6,1,198,0,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,3,0,199,0,21,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,3,1,198,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,61,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.275069270282984e-09,99.99999999472493,0,17,183,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.275069270282984e-09,99.99999999472493,0,17,183,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.5291767851977056e-09,99.99999999847083,0,7,192,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
8.819611707622244e-10,99.99999999911805,0,3,196,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.0120571047878002e-09,99.99999999898795,0,4,195,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
7.686073999479959e-10,99.99999999923139,0,2,197,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,50,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.7547296948805524e-09,99.99999999824527,0,9,191,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.7547296948805524e-09,99.99999999824527,0,9,191,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.1613376926788987e-09,99.99999999883866,0,5,194,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
7.686073999479959e-10,99.99999999923139,0,2,197,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,50,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
2.3105517499288908e-09,99.99999999768944,0,10,189,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
2.3105517499288908e-09,99.99999999768944,0,10,189,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.1613376926788987e-09,99.99999999883866,0,5,194,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.1613376926788987e-09,99.99999999883866,0,5,194,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.7547296948805524e-09,99.99999999824527,0,8,191,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.7547296948805524e-09,99.99999999824527,0,8,191,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
7.686073999479959e-10,99.99999999923139,0,2,197,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.1613376926788987e-09,99.99999999883866,0,5,194,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.1613376926788987e-09,99.99999999883866,0,5,194,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.1613376926788987e-09,99.99999999883866,0,5,194,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.1613376926788987e-09,99.99999999883866,0,5,194,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
2.3105517499288908e-09,99.99999999768944,0,10,189,1,61,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,21,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.1613376926788987e-09,99.99999999883866,0,5,194,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.1613376926788987e-09,99.99999999883866,0,5,194,1,61,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,61,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
1.0120571047878002e-09,99.99999999898795,0,4,195,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6.697975507563569e-10,99.9999999993302,2,1,198,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,2,0,199,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,2,0,199,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0.013050337070352747,99.98694966292965,59,135,76,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
2.3105517499288908e-09,99.99999999768944,6,10,189,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
5.837108574269223e-10,99.99999999941629,0,0,199,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
