0,1,NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
5.837108574269223e-10,99.99999999941629,2,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.837108574269223e-10,99.99999999941629,2,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.837108574269223e-10,99.99999999941629,0,1,199,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.086819854227542e-10,99.99999999949132,2,0,200,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.837108574269223e-10,99.99999999941629,3,1,199,1,6,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.837108574269223e-10,99.99999999941629,3,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.837108574269223e-10,99.99999999941629,3,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.837108574269223e-10,99.99999999941629,1,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.086819854227542e-10,99.99999999949132,2,0,200,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.837108574269223e-10,99.99999999941629,0,1,199,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.470277564256776e-08,99.99999994529722,7,36,166,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.086819854227542e-10,99.99999999949132,1,0,200,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.837108574269223e-10,99.99999999941629,0,1,199,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
8.819611707622244e-10,99.99999999911805,0,5,196,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.837108574269223e-10,99.99999999941629,0,2,199,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
4.597011660223416e-09,99.99999999540299,2,16,184,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
4.597011660223416e-09,99.99999999540299,1,16,184,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.086819854227542e-10,99.99999999949132,1,0,200,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
6.697975507563569e-10,99.9999999993302,1,2,198,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
6.697975507563569e-10,99.9999999993302,0,2,198,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
1.0120571047878002e-09,99.99999999898795,1,5,195,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
1.0120571047878002e-09,99.99999999898795,0,5,195,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.837108574269223e-10,99.99999999941629,1,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.837108574269223e-10,99.99999999941629,0,1,199,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
5.086819854227542e-10,99.99999999949132,1,0,200,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
