checkBoxList,NumberOfLink,NumberOfInput,URL_List,button_List,name_url
0,817,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,817,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,665,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,2,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,2,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,660,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,660,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,12,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,12,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,3,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,1,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,1,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,7,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,7,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,7,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,7,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,7,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,7,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,7,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,2,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,2,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,648,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,350,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,350,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,350,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,37,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,37,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,37,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,14,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,14,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,14,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
