checkBoxList,NumberOfLink,NumberOfInput,URL_List,button_List,name_url
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,165,4,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,11,3,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,11,3,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,10,3,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,3,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,3,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,3,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,3,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,3,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
