checkBoxList,NumberOfLink,NumberOfInput,URL_List,button_List,name_url
0,806,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,806,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,806,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,13,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,13,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,792,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,791,1,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,791,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,791,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,781,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,781,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,32,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,14,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,5,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,7,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,144,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,11,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,17,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,9,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,8,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,5,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,9,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,5,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,8,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,7,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,7,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,7,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,9,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,8,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,55,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,6,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,3,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,6,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,5,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,7,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,17,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,90,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,10,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
0,6,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Croma.html
