checkBoxList,NumberOfLink,NumberOfInput,URL_List,button_List,name_url
1,485,33,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,221,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,220,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,220,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,220,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,220,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,220,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,219,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,12,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,10,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,10,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,6,1,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,6,1,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,6,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,6,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,3,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,207,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,44,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,44,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,18,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,12,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,18,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,5,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,12,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,46,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
1,211,32,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
1,211,32,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Express.html
