checkBoxList,NumberOfLink,NumberOfInput,URL_List,button_List,name_url
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
1,373,116,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,36,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,36,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,36,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,33,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,2,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,31,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
1,10,44,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
1,10,44,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
1,8,42,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
1,7,37,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
1,7,36,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,4,6,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,4,6,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,2,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,2,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
1,3,30,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
1,0,4,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
1,0,4,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,7,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,2,3,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,1,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,3,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,3,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,1,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,2,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,2,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,2,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,298,72,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,298,72,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,298,72,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,298,72,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,295,72,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,263,72,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,3,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
0,3,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Point2.html
