checkBoxList,NumberOfLink,NumberOfInput,URL_List,button_List,name_url
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,208,117,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,208,117,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,139,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,65,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,65,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,65,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,31,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,31,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,5,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,5,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,8,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,8,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,5,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,5,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,2,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,2,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,74,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
