checkBoxList,NumberOfLink,NumberOfInput,URL_List,button_List,name_url
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,2956,70,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,753,4,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,13,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,13,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,13,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,13,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,13,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,13,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,738,4,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,11,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,3,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,2,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,1,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,8,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,8,2,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,2,0,1,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
