NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
125,817,6,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
125,817,6,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,819,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
36,665,155,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,819,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,819,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,819,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,819,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,819,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
1,2,817,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
1,2,817,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
1,0,819,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
31,660,160,1,70,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
31,660,160,1,70,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
4,12,808,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
4,12,808,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
2,3,817,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
1,0,819,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,819,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
1,0,819,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
0,0,819,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/ASOS.html
