NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,555,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,0,555,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
5,554,375,1,20,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
5,554,375,1,20,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
3,117,462,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
3,117,462,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
3,117,462,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
1,101,462,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
1,101,462,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,17,539,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,16,539,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,16,539,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,16,539,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,16,539,1,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,14,541,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,14,541,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,14,541,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,14,541,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,14,541,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,14,541,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,1,554,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,0,555,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,0,555,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,0,555,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
1,84,471,0,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,0,555,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,0,555,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,0,555,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
1,84,471,0,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
1,84,471,0,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
1,84,471,0,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
1,84,471,0,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
1,84,471,0,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,84,471,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,0,555,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,0,555,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
0,84,471,0,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
1,0,555,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
1,0,555,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
2,16,540,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
2,16,540,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
2,16,540,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Apparel.html
