NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
160,753,223,1,45,4,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
14,163,656,1,50,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
13,24,741,1,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
13,23,742,1,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,5,750,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,4,750,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,4,750,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
12,15,749,1,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
10,15,749,1,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
10,15,749,1,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
10,15,749,1,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
10,15,749,1,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
10,15,749,0,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
10,15,749,0,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
2,3,753,0,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
2,3,753,0,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
2,1,753,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
2,1,753,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
2,1,753,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
2,0,754,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,3,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,95,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
2,3,753,0,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
2,3,753,0,95,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
2,1,753,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
2,1,753,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
2,1,753,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,1,753,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,754,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
