NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
120,45,8,1,19,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
120,45,8,1,19,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
3,5,43,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
3,5,43,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
3,5,43,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
3,5,43,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
3,5,43,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,5,43,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
3,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
1,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
1,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
1,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
1,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
1,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
1,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
5,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
5,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
5,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
5,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
5,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
1,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
1,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
2,0,45,0,19,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
2,0,45,0,19,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,19,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
1,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
1,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
1,0,45,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
112,7,42,1,72,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
112,7,42,1,72,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,1,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,1,24,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
0,0,45,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Cleartrip.html
