NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
13,165,212,1,15,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,1,327,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,1,327,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
7,11,317,0,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
7,11,317,0,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
1,1,327,0,96,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
1,1,327,0,96,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
1,1,327,0,15,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
6,10,318,0,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
3,0,328,0,15,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
2,0,328,0,15,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
2,0,328,0,15,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
2,0,328,0,15,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
1,0,328,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
1,0,328,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
1,0,328,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
3,10,318,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
3,10,318,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
3,10,318,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
2,10,318,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
2,1,327,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,1,327,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
2,0,328,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
6,152,223,1,15,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
1,0,328,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,0,328,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,1,327,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
2,144,231,1,28,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,24,307,0,12,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,24,307,0,45,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,24,307,0,45,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,24,307,0,45,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,24,307,0,45,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
0,21,309,0,45,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Crocs.html
