NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
200,1241,713,1,11,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,12,1230,1,80,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,80,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,12,1230,1,80,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,12,1230,1,80,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
1,1,1241,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
1,0,1242,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
1,0,1242,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,1,1241,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,1,1241,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
1,0,1242,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
1,0,1242,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,0,35,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,70,1173,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,70,1173,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,65,1178,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,65,1178,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,65,1178,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,51,1192,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,51,1192,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,46,1196,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,46,1196,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,46,1196,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,70,1173,1,6,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,70,1173,1,6,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,65,1177,1,6,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,65,1177,1,6,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,65,1177,1,6,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,64,1181,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,64,1181,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,59,1185,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,59,1185,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,59,1185,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,62,1182,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,62,1182,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,57,1186,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,57,1186,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,57,1186,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,50,1193,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,50,1193,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,45,1197,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,45,1197,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,45,1197,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,48,1195,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,48,1195,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,43,1199,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,43,1199,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,43,1199,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,46,1197,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,46,1197,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,41,1201,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,41,1201,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,41,1201,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,48,1195,1,80,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,48,1195,1,80,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,43,1199,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,43,1199,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,43,1199,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,80,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,5,1237,1,80,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,80,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,2,1240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
79,533,849,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
79,533,849,1,10,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
0,0,1242,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Decathlon.html
