NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,1,215,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,1,215,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,4,212,0,76,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,23,194,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,19,198,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,1,215,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,3,214,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,2,214,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,5,211,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,4,212,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,7,209,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,6,210,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,4,212,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,1,215,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,1,215,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,1,215,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,1,215,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
10,3,213,0,3,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
10,3,213,0,3,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
9,0,216,0,3,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
7,0,216,0,3,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,216,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,216,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,216,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,216,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,216,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,216,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
2,0,216,0,3,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
2,0,216,0,3,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,216,0,3,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,216,0,3,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,216,0,3,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,216,0,3,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,30,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,216,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
