NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,318,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
30,317,166,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
13,15,311,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
13,15,311,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
13,15,311,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
13,15,311,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
12,15,311,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
10,13,311,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
10,13,311,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
10,13,311,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
10,13,311,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
10,13,311,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
10,12,312,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,10,313,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,10,313,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
4,1,317,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
4,1,317,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,1,317,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
3,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
3,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
3,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
3,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,4,314,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,4,314,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,4,314,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,4,314,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,3,315,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,4,315,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,4,315,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,4,315,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,4,315,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,4,315,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,4,315,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,4,315,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,2,316,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,2,317,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,2,317,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,2,317,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
15,263,207,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
1,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,125,256,1,40,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,125,256,1,40,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,3,317,0,60,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,3,317,0,60,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,3,317,0,60,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,3,317,0,60,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,3,317,0,60,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,2,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,88,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,88,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,17,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,17,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,42,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,42,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,60,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,60,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,122,257,1,40,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,122,257,1,40,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,122,257,1,40,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,122,257,1,40,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,122,257,1,40,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,122,257,1,40,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,122,257,1,40,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,122,257,1,40,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,122,257,1,40,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,1,82,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,0,318,0,82,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
6,0,318,0,82,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,12,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,12,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,82,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
4,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
4,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
4,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
4,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
4,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
2,0,318,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,2,317,0,82,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,82,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,82,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,82,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,82,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,82,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,120,258,1,40,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,120,258,1,40,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,120,258,0,40,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,2,317,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,2,317,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,1,317,0,2,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
0,0,318,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Fabindia.html
