NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,241,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
8,174,156,1,0,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,92,161,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,10,231,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,4,237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,4,237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,11,231,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,7,235,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,10,231,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,6,235,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,9,232,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,6,235,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,6,235,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,4,237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,10,231,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,8,233,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,5,236,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,1,240,1,89,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,1,240,1,89,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,1,240,0,89,1,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,89,1,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,66,177,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,66,177,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,66,177,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,65,178,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,65,178,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,65,178,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,9,232,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,9,232,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,9,232,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,5,236,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,5,236,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,5,236,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,46,195,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,46,195,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,46,195,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,46,195,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,46,195,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,5,236,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,8,233,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,5,236,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,5,236,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,3,238,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,9,232,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,7,234,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,4,237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
7,12,233,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
7,12,233,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
7,12,233,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
3,0,241,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
3,0,241,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
2,0,241,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
2,0,241,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,0,241,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,0,241,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
2,3,238,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
2,3,238,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,3,238,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,0,241,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,3,238,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
2,6,237,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
2,6,237,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,6,237,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,0,241,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,4,239,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,4,239,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,3,239,0,0,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,2,239,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,2,239,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,2,239,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
4,16,236,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
4,16,236,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
4,16,236,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
4,16,236,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,12,240,1,4,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,1,4,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,1,240,1,4,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,2,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,9,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,4,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,4,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,3,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,15,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,4,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,4,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,3,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,3,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,3,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,15,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,4,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,3,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
4,4,237,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
4,4,237,1,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,0,241,1,0,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,0,241,1,0,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,0,241,1,0,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
1,0,241,1,0,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
0,0,241,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/HimalayaWellness.html
