NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,130,1,26,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
48,108,33,1,12,9,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
4,7,124,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
4,7,124,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
4,7,124,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
4,7,124,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,1,129,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,1,129,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
4,5,125,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
4,5,125,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,1,129,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,1,129,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
4,0,130,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
2,0,130,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
1,0,130,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
1,0,130,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,4,126,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,4,126,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,2,128,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,2,128,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
44,91,49,1,12,9,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,1,17,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,3,127,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,1,129,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
44,87,50,1,12,9,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,1,17,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,28,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,28,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,28,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,130,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
