NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
2,22,405,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,0,426,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
2,20,406,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
2,20,406,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,0,426,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,2,425,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,2,425,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,1,425,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,1,425,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,0,426,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,0,426,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,0,426,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,0,426,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,0,426,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,0,426,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
1,2,425,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,1,425,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,1,425,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,0,426,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
0,2,424,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/LoopNet.html
