NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
51,248,15,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1,184,71,1,72,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1,2,246,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1,0,248,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1,0,248,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,21,227,1,54,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,21,227,1,54,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,10,238,1,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,10,238,1,54,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,1,247,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,27,221,1,4,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,27,221,1,4,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,12,236,1,4,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,11,237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,4,244,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,27,221,1,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,27,221,1,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,10,238,1,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,10,238,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,7,241,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,29,219,1,72,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,29,219,1,72,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,9,239,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,8,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,12,236,1,72,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,13,235,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,13,235,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,7,241,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,6,242,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,26,222,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,26,222,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,9,239,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,9,239,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,8,240,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,10,238,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,10,238,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,5,243,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,5,243,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,29,219,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,29,219,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,12,236,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,11,237,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,6,242,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
49,25,223,1,14,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
49,25,223,1,14,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,1,247,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
49,24,224,1,14,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1,0,248,1,79,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1,0,248,1,79,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1,0,248,0,79,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,79,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,26,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
1,0,248,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
0,0,248,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RelianceDigital.html
