NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,710,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,1,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,3,707,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,3,707,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
27,706,355,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
27,706,355,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
22,556,418,1,8,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,1,709,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,2,708,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,2,708,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,2,708,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,2,708,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,2,708,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
1,542,422,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
1,542,422,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,3,708,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
1,538,423,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,537,423,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,449,469,1,4,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,82,652,0,2,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,1,709,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,81,652,0,2,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,10,700,0,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,10,700,0,5,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,22,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,22,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,21,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,8,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,5,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,5,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,5,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,6,704,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,6,704,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,0,710,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
0,6,704,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Samsung.html
