NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
21,208,150,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
21,208,150,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
18,139,157,1,70,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
11,65,161,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
11,65,161,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
10,65,161,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,1,208,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
4,31,184,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
4,31,184,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,1,208,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,203,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,203,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,1,208,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,203,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,203,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,1,208,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,5,204,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,5,204,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,1,208,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,205,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,205,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,1,208,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,8,201,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,8,201,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,1,208,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,5,204,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,5,204,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,1,208,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,40,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,40,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,40,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,1,208,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,2,207,1,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,2,207,1,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,1,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,1,208,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,203,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,203,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
2,0,209,0,0,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,0,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,0,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,0,209,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,0,209,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
5,74,157,1,70,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,205,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,205,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,205,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,4,205,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
4,69,162,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
4,69,162,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
4,69,162,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,69,162,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
1,69,162,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,2,208,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,2,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,64,166,1,20,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,35,184,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,35,184,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,35,184,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,6,203,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,8,203,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,8,202,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,7,204,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
0,1,208,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Tease.html
