NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
7,2,383,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
7,2,383,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
4,1,384,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
4,1,384,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
2,1,384,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
22,383,96,1,54,13,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
22,383,96,1,54,13,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,385,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
19,363,112,1,54,13,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
4,0,385,0,50,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
4,0,385,0,50,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
2,0,385,0,50,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
2,0,385,0,37,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,50,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
15,363,112,1,54,13,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,170,265,1,20,13,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,80,345,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,54,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,54,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,54,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,2,384,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,2,384,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,2,384,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,2,384,0,10,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,1,384,0,11,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,1,384,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,1,384,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,385,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
