NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
1,1,2585,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
1,0,2586,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
1,0,2586,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,1,2585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,1,2585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,0,2586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,1,2585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,0,2586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,0,2586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
345,2582,833,1,15,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,0,2586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
13,501,2340,1,19,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
2,9,2578,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
2,9,2578,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
1,3,2584,0,19,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
1,3,2584,0,19,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,3,2584,0,19,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,2,2585,0,99,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,1,2585,0,99,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,1,2585,0,99,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,1,2585,0,19,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,1,2585,0,19,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,1,2585,0,19,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
1,0,2586,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
1,0,2586,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,0,2586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,0,2586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
1,6,2580,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,0,2586,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
0,1,2585,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
1,3,2583,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UnderArmour.html
