NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
75,199,35,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
3,0,199,1,5,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
3,0,199,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
3,0,199,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
3,0,199,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
8,64,146,1,61,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6,2,197,0,61,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6,1,198,0,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
6,1,198,0,21,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
3,0,199,0,21,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
3,1,198,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,61,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,17,183,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,17,183,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,7,192,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,3,196,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,4,195,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,2,197,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,50,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,9,191,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,9,191,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,5,194,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,2,197,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,50,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,0,199,0,50,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,10,189,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,10,189,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,5,194,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,5,194,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,8,191,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,8,191,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,2,197,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,1,198,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
0,5,194,0,21,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/century.html
