NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
2,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
2,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,1,199,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
2,0,200,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
3,1,199,1,6,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
3,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
3,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
1,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
2,0,200,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,1,199,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
7,36,166,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
1,0,200,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,1,199,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,5,196,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,2,199,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
2,16,184,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
1,16,184,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
1,0,200,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
1,2,198,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,2,198,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
1,5,195,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,5,195,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
1,1,199,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,1,199,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
1,0,200,1,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,1,199,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,5,196,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,4,197,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,0,200,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,1,199,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,1,199,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,1,199,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,0,200,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,0,200,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
0,1,199,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/coldwellbankerhomes.html
