NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
106,323,93,1,20,6,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
5,147,190,0,30,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
5,147,190,0,30,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
4,8,317,0,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
4,8,317,0,0,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
4,4,321,0,30,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
2,4,321,0,30,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
2,4,321,0,30,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,4,321,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,1,322,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,1,322,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,1,322,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,1,322,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,1,322,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,1,322,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,1,322,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,1,322,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
1,1,322,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
1,1,322,0,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,1,322,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
1,0,323,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
1,0,323,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
1,0,323,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
1,0,323,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,1,322,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,61,263,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,60,263,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,30,293,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,30,293,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,20,304,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,19,304,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,15,308,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,4,319,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,24,300,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,23,300,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,23,300,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,14,310,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,13,310,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,5,318,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,8,315,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,11,313,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,10,313,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,4,319,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,6,317,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,7,317,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,6,317,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,6,317,0,30,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
86,120,263,0,25,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
9,0,323,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
9,0,323,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
9,0,323,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
9,0,323,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
8,0,323,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
17,0,323,0,29,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
17,0,323,0,29,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
17,0,323,0,29,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
1,0,323,0,14,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,13,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,10,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,27,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,17,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,32,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,51,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,323,0,25,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
