NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
5,0,501,0,10,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,10,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
1,0,501,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
1,0,501,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
1,0,501,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
3,0,501,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,342,282,1,95,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,338,285,1,84,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,338,285,1,84,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,338,285,1,84,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,338,285,1,2,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,338,285,1,2,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,6,495,0,45,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
0,0,501,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/lenevo.html
