NumOfButton,NumOfLinks,commonURL,is_page,NumOfPage,NumberOfValues,navType,name_url
159,339,38,1,20,8,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,340,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,340,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,340,0,1,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
157,339,38,1,20,8,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
9,94,261,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
9,94,261,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
8,91,263,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
8,91,263,1,20,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,340,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,340,0,1,0,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,16,325,1,1,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,16,325,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,15,326,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,15,326,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,15,326,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,15,326,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,15,326,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,5,335,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,5,335,1,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,5,335,0,1,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,7,334,1,6,0,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,7,334,1,6,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,6,334,1,6,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,6,334,0,6,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,6,334,0,6,0,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
