sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
1,0,12,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
1,0,14,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
1,0,13,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
1,0,8,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
0,0,73,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
0,0,73,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
1,0,4,4,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
1,0,9,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
0,0,12,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/99acres.html
