sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
1,0,4,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Argos.html
