sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
1,1,6,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,135,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,18,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,30,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,17,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,16,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,38,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,296,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,21,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,40,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,23,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,16,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,26,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,36,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,16,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,24,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
1,0,48,21,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Bath_Body Works.html
