sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
1,1,3,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
1,0,3,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
1,0,282,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,21,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,61,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,13,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,14,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,77,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,10,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,14,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,14,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,10,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,12,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,32,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,12,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,17,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
1,0,42,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
1,0,8,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
1,0,8,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Dell.html
