sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
1,0,4,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,18,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,3,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,5,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,2,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,19,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,3,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,3,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,16,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,12,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
1,0,5,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,35,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,12,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,21,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/DuProprio.html
