sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
0,0,17,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,17,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,17,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,17,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
1,1,8,4,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,13,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
1,0,19,19,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
1,0,10,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,10,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Homes.html
