sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
1,0,81,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,10,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,10,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
1,0,16,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/John_sCrazySocks.html
