sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,10,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,10,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,10,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
1,0,5,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
1,0,4,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Kijiji.html
