sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
1,1,5,4,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
1,1,5,4,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
1,0,13,13,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
1,0,6,6,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,31,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,18,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,22,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,201,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
1,0,6,6,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,12,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/NastyGal.html
