sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
1,0,5,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
1,0,5,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,421,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,40,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,38,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,76,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,15,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/RedWolfAirsoft.html
