sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
1,0,7,4,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
1,0,7,4,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
1,0,662,19,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
1,0,42,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
1,0,39,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
1,0,12,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
1,0,38,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
1,0,34,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
1,0,32,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
1,0,29,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
1,0,86,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
1,0,83,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,20,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/TheBay.html
