sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
1,1,9,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,45,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,45,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,17,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,12,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,24,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,5,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,42,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,45,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,22,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,3,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,15,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
1,0,10,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/Trulia.html
