sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
1,0,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
1,0,5,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0,0,10,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
1,0,195,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
1,0,194,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
1,0,2,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
1,0,3,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
1,0,96,96,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
1,0,3,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0,0,17,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/UltaBeauty.html
